Country,Year,GDP (current US$),GDP growth (annual %),GDP per capita (current US$),"Unemployment, total (% of total labor force) (modeled ILO estimate)","Inflation, consumer prices (annual %)","Foreign direct investment, net inflows (% of GDP)",Trade (% of GDP),Gini index,"Population, total",Population growth (annual %),,,,,,,,,,,,,,,,,,,,,
Afghanistan,2000,3521418060,,180.1883694,7.955,,0.004827601,,,19542982,1.443803024,,,,,,,,,,,,,,,,,,,,,
Afghanistan,2001,2813571754,-9.431974068,142.9033644,7.958,,0.024168568,,,19688632,0.742516834,,,,,,,,,,,,,,,,,,,,,
Afghanistan,2002,3825701439,28.60000116,182.1740382,7.939,,1.30694987,,,21000256,6.449321478,,,,,,,,,,,,,,,,,,,,,
Afghanistan,2003,4520946819,8.832277803,199.6432265,7.922,,1.278493252,,,22645130,7.541018965,,,,,,,,,,,,,,,,,,,,,
Afghanistan,2004,5224896719,1.414117993,221.8305307,7.914,,3.577104201,,,23553551,3.933177688,,,,,,,,,,,,,,,,,,,,,
Afghanistan,2005,6203256539,11.22971483,254.115276,7.914,12.68626872,4.368673104,,,24411191,3.576508004,,,,,,,,,,,,,,,,,,,,,
Afghanistan,2006,6971758282,5.357403247,274.0153923,7.918,6.78459655,3.413772973,,,25442944,4.139678035,,,,,,,,,,,,,,,,,,,,,
Afghanistan,2007,9747886187,13.82631955,376.3182996,7.908,8.680570785,1.935701714,,,25903301,1.793195727,,,,,,,,,,,,,,,,,,,,,
Afghanistan,2008,10109297048,3.92498382,382.5338072,7.92,26.41866415,0.455360445,,,26427199,2.002333262,,,,,,,,,,,,,,,,,,,,,
Afghanistan,2009,12416152732,21.39052839,453.3873851,7.914,-6.811161089,0.451889146,,,27385307,3.561288374,,,,,,,,,,,,,,,,,,,,,
Afghanistan,2010,15856668556,14.36244147,562.4992216,7.914,2.178537524,1.20311799,,,28189672,2.894904104,,,,,,,,,,,,,,,,,,,,,
Afghanistan,2011,17805098206,0.426354777,608.7388504,7.916,11.80418581,0.29302518,,,29249157,3.689508302,,,,,,,,,,,,,,,,,,,,,
Afghanistan,2012,19907329778,12.75228709,653.4174749,7.909,6.441212809,0.285440894,,,30466479,4.077627729,,,,,,,,,,,,,,,,,,,,,
Afghanistan,2013,20146416758,5.600744659,638.733181,7.919,7.385771784,0.239801184,,,31541209,3.466788304,,,,,,,,,,,,,,,,,,,,,
Afghanistan,2014,20497128556,2.724543362,626.5129291,7.915,4.673996035,0.209664795,,,32716210,3.657576065,,,,,,,,,,,,,,,,,,,,,
Afghanistan,2015,19134221645,1.451314661,566.8811297,9.011,-0.661709165,0.884000463,,,33753499,3.121341229,,,,,,,,,,,,,,,,,,,,,
Afghanistan,2016,18116572395,2.260314203,523.053012,10.1,4.383891955,0.516606085,,,34636207,2.581549399,,,,,,,,,,,,,,,,,,,,,
Afghanistan,2017,18753456498,2.647003203,526.140801,11.184,4.975951506,0.274796792,,,35643418,2.866492148,,,,,,,,,,,,,,,,,,,,,
Afghanistan,2018,18053222687,1.189228129,492.090631,11.206,0.626149149,0.661572218,,,36686784,2.885207973,,,,,,,,,,,,,,,,,,,,,
Afghanistan,2019,18799444490,3.911603416,497.7414313,11.224,2.302372515,0.124495985,,,37769499,2.908529093,,,,,,,,,,,,,,,,,,,,,
