Country,Year,GDP,Population
India,2023,3550000000000.00,1428627663
India,2022,3350000000000.00,1417173173
India,2021,3170000000000.00,1407563842
India,2019,2840000000000.00,1383112050
India,2018,2700000000000.00,1369003306
India,2020,2670000000000.00,1396387127
India,2017,2650000000000.00,1354195680
India,2016,2290000000000.00,1338636340
India,2015,2100000000000.00,1322866505
India,2014,2040000000000.00,1307246509
India,2013,1860000000000.00,1291132063
India,2012,1830000000000.00,1274487215
India,2011,1820000000000.00,1257621191
India,2010,1680000000000.00,1240613620
India,2009,1340000000000.00,1223640160
India,2007,1220000000000.00,1189691809
India,2008,1200000000000.00,1206734806
India,2006,940000000000.00,1172373788
India,2005,820000000000.00,1154638713
India,2004,709000000000.00,1136264583
India,2003,608000000000.00,1117415123
India,2002,515000000000.00,1098313039
India,2001,485000000000.00,1078970907
India,2000,468000000000.00,1059633675
Bangladesh,2022,460000000000.00,171186372
Bangladesh,2023,437000000000.00,172954319
Bangladesh,2021,416000000000.00,169356251
Pakistan,2022,375000000000.00,235824862
Bangladesh,2020,374000000000.00,167420951
Pakistan,2018,356000000000.00,219731479
Bangladesh,2019,351000000000.00,165516222
Pakistan,2021,349000000000.00,231402117
Pakistan,2017,339000000000.00,216379655
Pakistan,2023,338000000000.00,240485658
Bangladesh,2018,321000000000.00,163683958
Pakistan,2019,321000000000.00,223293280
Pakistan,2016,314000000000.00,213524840
Pakistan,2015,300000000000.00,210969298
Pakistan,2020,300000000000.00,227196741
Bangladesh,2017,294000000000.00,161793964
Pakistan,2014,271000000000.00,208251628
Bangladesh,2016,265000000000.00,159784568
Pakistan,2013,259000000000.00,205337562
Pakistan,2012,250000000000.00,202205861
Pakistan,2011,231000000000.00,198602738
Pakistan,2008,202000000000.00,185931955
Pakistan,2010,197000000000.00,194454498
Bangladesh,2015,195000000000.00,157830000
Pakistan,2009,187000000000.00,190123222
Pakistan,2007,184000000000.00,181924521
Bangladesh,2014,173000000000.00,155961299
Pakistan,2006,162000000000.00,178069984
Bangladesh,2013,150000000000.00,154030139
Pakistan,2005,145000000000.00,174372098
Bangladesh,2012,133000000000.00,152090649
Pakistan,2004,132000000000.00,170648620
Bangladesh,2011,129000000000.00,150211005
Bangladesh,2010,115000000000.00,148391139
Pakistan,2003,112000000000.00,166876680
Bangladesh,2009,102000000000.00,146706810
Pakistan,2000,99484802345.00,154369924
Pakistan,2002,97923302809.00,163262807
Pakistan,2001,97145618480.00,159217727
Sri Lanka,2018,94493871201.00,21670000
Sri Lanka,2017,94376237797.00,21506813
Bangladesh,2008,91636997445.00,145421318
Sri Lanka,2019,89014978344.00,21803000
Sri Lanka,2021,88609332762.00,22156000
Sri Lanka,2016,88012282206.00,21425494
Sri Lanka,2015,85140955389.00,21336697
Sri Lanka,2023,84356860421.00,22037000
Sri Lanka,2020,84304298771.00,21919000
Sri Lanka,2014,82528535714.00,21239457
Bangladesh,2007,79611644984.00,144135934
Sri Lanka,2013,77000578167.00,21131756
Sri Lanka,2022,74144875098.00,22181000
Bangladesh,2006,71795735672.00,142628831
Sri Lanka,2012,70447216891.00,21017147
Bangladesh,2005,69476001430.00,140912590
Sri Lanka,2011,67753284044.00,20859743
Bangladesh,2004,65108544250.00,138789725
Bangladesh,2003,60158929188.00,136503206
Sri Lanka,2010,58636161082.00,20668557
Bangladesh,2002,54724081491.00,134139826
Bangladesh,2001,53991289844.00,131670484
Bangladesh,2000,53369787319.00,129193327
Sri Lanka,2009,42066224093.00,20482477
Nepal,2022,41182939601.00,30547580
Nepal,2023,40908073367.00,30896590
Sri Lanka,2008,40713826215.00,20285643
Nepal,2021,36924841394.00,30034989
Nepal,2019,34186180699.00,28832496
Nepal,2020,33433659301.00,29348627
Nepal,2018,33111525237.00,28506712
Sri Lanka,2007,32350238760.00,20078655
Nepal,2017,28971588940.00,28183426
Sri Lanka,2006,28279802406.00,19870706
Nepal,2016,24524109484.00,27861186
Sri Lanka,2005,24405791045.00,19673866
Nepal,2015,24360801287.00,27610325
Nepal,2014,22731612922.00,27462106
Nepal,2013,22162204925.00,27381555
Nepal,2012,21703100877.00,27330694
Nepal,2011,21573872421.00,27266399
Sri Lanka,2004,20662525941.00,19490431
Afghanistan,2014,20497128556.00,32716210
Afghanistan,2013,20146416758.00,31541209
Afghanistan,2020,19955929052.00,38972230
Afghanistan,2012,19907329778.00,30466479
Afghanistan,2015,19134221645.00,33753499
Sri Lanka,2003,18881765437.00,19303180
Afghanistan,2019,18799444490.00,37769499
Afghanistan,2017,18753456498.00,35643418
Afghanistan,2016,18116572395.00,34636207
Afghanistan,2018,18053222687.00,36686784
Afghanistan,2011,17805098206.00,29249157
Sri Lanka,2002,16536535647.00,19110707
Sri Lanka,2000,16330814180.00,18776371
Nepal,2010,16002656434.00,27161567
Afghanistan,2010,15856668556.00,28189672
Sri Lanka,2001,15749753805.00,18920275
Afghanistan,2022,14502158192.00,41128771
Afghanistan,2021,14266499430.00,40099462
Nepal,2009,12854985464.00,27026941
Nepal,2008,12545438605.00,26881544
Afghanistan,2009,12416152732.00,27385307
Nepal,2007,10325618017.00,26713655
Afghanistan,2008,10109297048.00,26427199
Afghanistan,2007,9747886187.00,25903301
Nepal,2006,9043715356.00,26518971
Nepal,2005,8130258378.00,26285110
Nepal,2004,7273938315.00,26003965
Afghanistan,2006,6971758282.00,25442944
Maldives,2023,6600000000.00,521021
Nepal,2003,6330473097.00,25682908
Afghanistan,2005,6203256539.00,24411191
Maldives,2022,6170638746.00,523787
Nepal,2002,6050875807.00,25332178
Nepal,2001,6007055042.00,24956071
Maldives,2019,5726094799.00,504508
Nepal,2000,5494252208.00,24559500
Maldives,2018,5404344163.00,489758
Maldives,2021,5254366312.00,521457
Afghanistan,2004,5224896719.00,23553551
Maldives,2017,4816426257.00,472442
Afghanistan,2003,4520946819.00,22645130
Maldives,2016,4409942624.00,454252
Maldives,2015,4129505319.00,435582
Afghanistan,2002,3825701439.00,21000256
Maldives,2020,3712604583.00,514438
Maldives,2014,3697353039.00,416738
